datetime,symbol,open,high,low,close,volume
2024-08-15 22:38:00,CME_MINI:NQ1!,19638.25,19640.0,19637.5,19639.25,19.0
2024-08-15 22:39:00,CME_MINI:NQ1!,19639.0,19639.75,19637.5,19639.5,13.0
2024-08-15 22:40:00,CME_MINI:NQ1!,19640.0,19643.5,19638.75,19640.0,57.0
2024-08-15 22:41:00,CME_MINI:NQ1!,19640.5,19640.5,19637.25,19637.25,27.0
2024-08-15 22:42:00,CME_MINI:NQ1!,19638.0,19638.0,19633.0,19633.0,50.0
2024-08-15 22:43:00,CME_MINI:NQ1!,19634.0,19634.75,19632.75,19634.75,30.0
2024-08-15 22:44:00,CME_MINI:NQ1!,19634.5,19638.0,19634.5,19638.0,30.0
2024-08-15 22:45:00,CME_MINI:NQ1!,19636.5,19640.25,19636.25,19639.75,20.0
2024-08-15 22:46:00,CME_MINI:NQ1!,19640.25,19640.75,19638.75,19638.75,9.0
2024-08-15 22:47:00,CME_MINI:NQ1!,19639.25,19639.25,19638.25,19639.0,5.0
2024-08-15 22:48:00,CME_MINI:NQ1!,19638.25,19638.5,19638.25,19638.5,2.0
2024-08-15 22:49:00,CME_MINI:NQ1!,19639.0,19639.75,19636.0,19636.5,28.0
2024-08-15 22:50:00,CME_MINI:NQ1!,19635.75,19635.75,19634.0,19635.25,25.0
2024-08-15 22:51:00,CME_MINI:NQ1!,19635.5,19637.25,19633.75,19637.25,16.0
2024-08-15 22:52:00,CME_MINI:NQ1!,19636.5,19636.5,19636.25,19636.5,4.0
2024-08-15 22:53:00,CME_MINI:NQ1!,19635.75,19636.75,19633.5,19634.75,27.0
2024-08-15 22:54:00,CME_MINI:NQ1!,19634.75,19635.75,19634.0,19635.75,18.0
2024-08-15 22:55:00,CME_MINI:NQ1!,19636.25,19636.5,19635.5,19635.5,10.0
2024-08-15 22:56:00,CME_MINI:NQ1!,19636.5,19636.5,19634.0,19634.0,5.0
2024-08-15 22:57:00,CME_MINI:NQ1!,19633.75,19635.5,19633.5,19635.5,7.0
2024-08-15 22:58:00,CME_MINI:NQ1!,19635.5,19637.25,19635.5,19637.25,6.0
2024-08-15 22:59:00,CME_MINI:NQ1!,19637.5,19637.5,19634.25,19635.0,18.0
2024-08-15 23:00:00,CME_MINI:NQ1!,19633.75,19635.5,19628.5,19630.75,105.0
2024-08-15 23:01:00,CME_MINI:NQ1!,19631.0,19631.75,19629.0,19629.5,25.0
2024-08-15 23:02:00,CME_MINI:NQ1!,19630.5,19631.5,19629.5,19630.75,27.0
2024-08-15 23:03:00,CME_MINI:NQ1!,19630.0,19631.5,19627.25,19631.5,59.0
2024-08-15 23:04:00,CME_MINI:NQ1!,19631.0,19631.0,19629.5,19629.75,8.0
2024-08-15 23:05:00,CME_MINI:NQ1!,19629.75,19630.0,19628.0,19629.0,11.0
2024-08-15 23:06:00,CME_MINI:NQ1!,19629.25,19632.0,19629.25,19632.0,19.0
2024-08-15 23:07:00,CME_MINI:NQ1!,19631.75,19633.75,19630.5,19632.5,40.0
2024-08-15 23:08:00,CME_MINI:NQ1!,19632.75,19632.75,19632.75,19632.75,1.0
2024-08-15 23:09:00,CME_MINI:NQ1!,19632.75,19633.25,19632.5,19632.5,4.0
2024-08-15 23:10:00,CME_MINI:NQ1!,19632.75,19632.75,19629.0,19629.75,26.0
2024-08-15 23:11:00,CME_MINI:NQ1!,19630.25,19631.25,19629.5,19630.5,25.0
2024-08-15 23:12:00,CME_MINI:NQ1!,19630.5,19630.5,19628.0,19628.0,14.0
2024-08-15 23:13:00,CME_MINI:NQ1!,19628.75,19629.0,19625.0,19626.25,61.0
2024-08-15 23:14:00,CME_MINI:NQ1!,19626.25,19626.25,19612.0,19616.25,262.0
2024-08-15 23:15:00,CME_MINI:NQ1!,19617.5,19621.5,19614.25,19619.25,155.0
2024-08-15 23:16:00,CME_MINI:NQ1!,19618.75,19619.25,19617.5,19619.0,33.0
2024-08-15 23:17:00,CME_MINI:NQ1!,19619.25,19620.25,19616.75,19617.25,47.0
2024-08-15 23:18:00,CME_MINI:NQ1!,19619.5,19621.75,19618.75,19618.75,18.0
2024-08-15 23:19:00,CME_MINI:NQ1!,19618.75,19619.25,19617.0,19619.0,31.0
2024-08-15 23:20:00,CME_MINI:NQ1!,19619.0,19619.25,19617.25,19619.25,34.0
2024-08-15 23:21:00,CME_MINI:NQ1!,19619.25,19619.5,19618.5,19618.5,5.0
2024-08-15 23:22:00,CME_MINI:NQ1!,19618.5,19619.25,19618.5,19619.25,3.0
2024-08-15 23:23:00,CME_MINI:NQ1!,19618.25,19619.25,19615.75,19619.25,50.0
2024-08-15 23:24:00,CME_MINI:NQ1!,19620.5,19620.75,19619.5,19620.75,15.0
2024-08-15 23:25:00,CME_MINI:NQ1!,19620.75,19620.75,19616.75,19616.75,12.0
2024-08-15 23:26:00,CME_MINI:NQ1!,19618.0,19618.75,19617.5,19617.5,7.0
2024-08-15 23:27:00,CME_MINI:NQ1!,19618.75,19623.25,19618.5,19621.0,67.0
2024-08-15 23:28:00,CME_MINI:NQ1!,19621.0,19623.5,19620.75,19622.75,39.0
